fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,white_wine,quality
7.325787543113281,1.3301619837254328,0.006093610153038223,2.008595847704427,0.11902385004853724,5.304680507651911,9.914041522955733,0.9951378038294884,3.515234025382596,0.4700765167599396,10.610553517730683,0.0,1.0
6.8,0.91,0.06,2.0,0.06,4.0,11.0,0.99592,3.53,0.64,10.9,0.0,2.0
9.1,0.4,0.5,1.8,0.071,7.0,16.0,0.99462,3.21,0.69,12.5,0.0,4.0
6.5,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,0.0,3.0
5.516612956435972,0.5498066431694986,0.033322591287194364,1.7335481742561127,0.044166129564359724,25.34192697024451,87.16612956435972,0.9910658073029756,3.5099677738615838,0.82,13.817257479204311,0.0,4.0
7.294753969222717,0.3705246030777283,0.3052623015388641,1.9052460307772832,0.06452785723004452,15.947539692227169,26.63115076943208,0.9944689019815598,3.234737698461136,0.7315738092331849,11.347376984611357,0.0,4.0
10.3,0.44,0.5,4.5,0.107,5.0,13.0,0.998,3.28,0.83,11.5,0.0,3.0
7.525517983671725,1.4328980177516584,0.0,2.9006816755289506,0.1221035967343451,5.0,10.862050408206864,0.9954452345502202,3.5484133106133777,0.4521374114297922,10.825517983671725,0.0,1.0
7.490035000977842,0.86824237478697,0.09250375010476887,2.070005000139692,0.08910015000419076,11.649974999301538,69.80020000558767,0.9962485427511945,3.2974962498952314,0.5964997499930154,9.329994999860308,0.0,2.0
9.881490212594366,0.3106997825020971,0.5011511962384662,4.725960850377473,0.07625507612426602,5.465010874895146,14.860043499580586,0.9970419869501258,3.1927991300083884,0.8665010874895146,12.181490212594365,0.0,4.0
10.923149061716053,0.6131374938534848,0.5669329959859575,2.0589893878575114,0.10121504814350032,10.846063672854932,44.46180898143521,0.9999412453720522,3.2598707428499742,0.5615393632714506,9.112808489713991,0.0,1.0
9.151205175171533,0.3398071719725546,0.5235100923584917,2.7502410350343065,0.07933654713379076,6.331726433104622,17.0,0.9957282539729629,3.158293160827616,0.8868273566895378,11.932208503173234,0.0,4.0
8.5,0.21,0.52,1.9,0.09,9.0,23.0,0.99648,3.36,0.67,10.4,0.0,3.0
8.1,0.78,0.1,3.3,0.09,4.0,13.0,0.99855,3.36,0.49,9.5,0.0,3.0
7.3847441614440905,0.9094065861744944,0.04288139596389772,5.154240357232158,0.08247457360240681,3.7118604036102285,13.288139596389772,0.9982793209130107,3.4189829440962733,0.5128813959638977,10.389829440962727,0.0,1.0
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,0.0,2.0
7.745386894039282,1.4636904847685757,0.004153911258265159,2.3700042317872354,0.12599213516559732,5.2076955629132575,9.415391125826517,0.9956240135417193,3.495846088741734,0.4186926006621932,10.920769556291326,0.0,1.0
9.440280725340855,0.6071769059083667,0.3054528607664894,1.6857521176759631,0.11899470352536515,29.665783920894192,48.30958686279328,0.9979268246842526,3.3583289196044714,0.7640280725340858,9.838082627441345,0.0,1.0
7.270038869340112,0.9701128268822372,0.047003886934011314,2.046069964812204,0.07334398583187339,19.760310954720907,47.80155477360453,0.9969097819085118,3.310599222613198,0.5476031095472091,9.705992226131977,0.0,1.0
6.855976368427423,0.8546999379737916,0.0155435323306451,2.345917289495975,0.08223364428588716,5.777176616532255,12.44564676693549,0.9961336940300808,3.5678258706774195,0.609945895487903,10.117117537600807,0.0,1.0
8.854341355528971,0.4286601751882865,0.4672455140705297,1.9433008759414323,0.07202357768529594,7.2047155370591875,16.20471553705919,0.9941552957308756,3.2079528446294083,0.6961414661117756,12.622829322235516,0.0,4.0
7.367653678342137,0.3728148423567656,0.3459257882161721,2.3832084076391693,0.061269115605038574,15.0,30.916042038195855,0.9953379235573182,3.258740630572938,0.7839505254774481,11.659257882161722,0.0,4.0
8.055011000333256,0.5935774978688306,0.21278203476522145,2.714293302696038,0.07723055913420201,24.76314391608625,118.36089826173892,0.9970423549045624,3.1749123738927585,1.0603505044289667,9.355640695304427,0.0,2.0
9.4,0.59,0.14,2.0,0.084,25.0,48.0,0.9981,3.14,0.56,9.7,0.0,3.0
7.9,0.18,0.4,1.8,0.062,7.0,20.0,0.9941,3.28,0.7,11.1,0.0,3.0
7.1,0.875,0.05,5.7,0.08199999999999999,3.0,14.0,0.99808,3.4,0.52,10.2,0.0,1.0
7.7,0.66,0.04,1.6,0.039,4.0,9.0,0.9962,3.4,0.47,9.4,0.0,3.0
6.992832134277856,0.9339131494713449,0.0,2.180230015912436,0.21236422862127405,12.464744204905967,24.179196643053594,0.9953174212229752,3.4196299360435587,0.5196416067138928,10.089248201416783,0.0,1.0
7.622388785657692,1.1442287226294234,0.004941973014615351,4.039966146878848,0.0937877175405,5.247098650730766,13.258704047807695,0.9971732688696954,3.5929352023903847,0.5276450674634616,10.774129595219225,0.0,1.0
7.302280762008487,0.3697719237991512,0.3048859618995756,1.8977192379915118,0.06520526858076392,16.022807620084883,26.442980949787803,0.9944489559806776,3.2351140381004244,0.7293157713974536,11.351140381004246,0.0,4.0
9.1,0.765,0.04,1.6,0.078,4.0,14.0,0.998,3.29,0.54,9.7,0.0,2.0
7.2103242539474515,0.9890017290790328,0.031612624342091486,5.1667661059206536,0.08751621269737253,3.735495026316341,14.0,0.9975357336805258,3.4845819280263792,0.5273549502631635,10.383873756579085,0.0,1.0
10.5,0.59,0.49,2.1,0.07,14.0,47.0,0.9991,3.3,0.56,9.6,0.0,2.0
8.060143020500178,1.2118855835998588,0.013146943442862187,2.9545513237860423,0.1021605998764152,5.657347172143109,10.314694344286217,0.9974945642361154,3.4868530565571376,0.4591612454928798,10.96573471721431,0.0,1.0
7.771066381470763,0.5571585141451628,0.2275965366189168,4.121670978797098,0.0740207503992347,22.170606091689557,117.62017316905417,0.9968596427150334,3.1921959593887363,0.9912161624450551,9.651930732378336,0.0,2.0
7.939656880487155,0.3726978089526389,0.36348904476319466,1.8,0.07304766432855209,13.825547761840268,21.460438209472212,0.9943265014462408,3.2304766432855208,0.6968255477618402,11.749189746197569,0.0,4.0
6.1,0.715,0.1,2.6,0.053,13.0,27.0,0.99362,3.57,0.5,11.9,0.0,3.0
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,0.0,3.0
9.359891935076366,0.6935238294559889,0.3513189246768487,3.2346633435530565,0.1628082570724276,4.369631475803858,15.369631475803855,0.9989839567740304,3.235644222903537,0.5953297311692122,8.967331671776527,0.0,1.0
7.649431660336335,0.9413896589573072,0.036264208491591635,4.6469226510220265,0.08291571943389389,4.373579150840836,12.626420849159164,0.9984646021622354,3.436628777355756,0.5062642084915916,10.566287773557557,0.0,1.0
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,0.0,3.0
